Name,City,RatingStars,OpeningTime
Hattys,Manchester,6.0,2020-11-08T11:00:00
Panda Mami,Manchester,6.0,2020-11-08T12:00:00
Krispy Kreme - Manchester Piccadilly Station,Manchester,6.0,2020-11-08T08:00:00
Ohayo Tea,Manchester,6.0,2020-11-08T12:00:00
Zog Celebrations,Manchester,6.0,2020-11-08T11:00:00
Sakura Japanese Restaurant,Manchester,6.0,2020-11-08T17:00:00
Fish & Fire,Manchester,6.0,2020-11-09T11:00:00
Taste It Italian,Salford,5.82,2020-11-08T15:00:00
Tonys Chippy,Manchester,5.81,2020-11-09T11:30:00
Three Peaks Pizza,Salford,5.75,2020-11-08T12:00:00
Burger Street,Manchester,5.69,2020-11-08T16:00:00
Jolly Rogers,Manchester,5.67,2020-11-08T12:00:00
Ariyadh Restaurant,Manchester,5.67,2020-11-08T13:00:00
Kabana,Manchester,5.63,2020-11-08T11:00:00
Dessert Plug and Food,Salford,5.63,2020-11-08T16:00:00
Spicy Grill~,Manchester,5.63,0001-01-01T00:00:00
Manchester Vegan Cafe,Manchester,5.61,2020-11-08T12:00:00
Alif Grill,Manchester,5.59,2020-11-08T12:00:00
Vertigo Plant Based Eatery,Manchester,5.58,2020-11-08T10:00:00
Manggo,Manchester,5.56,2020-11-08T12:00:00
Tony's Stadium Chippy,Manchester,5.56,2020-11-09T12:00:00
YO! - Manchester Arndale,Manchester,5.56,2020-11-08T11:15:00
Plymouth Grove,Manchester,5.56,2020-11-08T12:00:00
Falafel,Manchester,5.56,2020-11-08T17:00:00
Sweating Chicken,Manchester,5.56,2020-11-08T17:00:00
The Village Tea Room & Cafe,Manchester,5.55,2020-11-08T10:00:00
Salford Curry King,Salford,5.54,2020-11-08T16:30:00
Billy's Asian Food,Manchester,5.53,2020-11-08T14:00:00
Pizzology,Salford,5.52,2020-11-08T15:30:00
Safire Restaurant & Grill,Manchester,5.51,2020-11-08T15:00:00
Pizza Factory,Manchester,5.51,2020-11-08T16:30:00
