Name,City,RatingStars,OpeningTime
Vitosha Restaurant Cafe,London,6.0,2020-11-08T10:00:00
Perfect Fried Chicken Croydon,Croydon,6.0,2020-11-08T12:00:00
Flame & Fried,Croydon,6.0,2020-11-08T11:00:00
Coughlans Bakery - South Croydon,South Croydon,6.0,2020-11-09T08:00:00
Old Kabul Kitchen,South Croydon,6.0,2020-11-08T12:30:00
Tasty Marmaris Grill,Croydon,6.0,2020-11-08T12:00:00
Coughlans Bakery - Purley,Purley,5.81,2020-11-09T08:00:00
BBQ Stack Street Kitchen,Wallington,5.81,2020-11-08T08:00:00
4 Locos Argentine Steakhouse,Purley,5.73,2020-11-08T12:00:00
The Chinese Gourmet,Croydon,5.67,2020-11-08T12:00:00
Equinox Fish Bar Wallington,Surrey,5.62,2020-11-09T15:45:00
Woodlands Pizza (Wood Fired Oven),London,5.6,2020-11-08T11:30:00
Uncle Lim's,Croydon,5.58,2020-11-09T17:00:00
Damas Land,Croydon,5.57,2020-11-08T12:00:00
Dirty Crunch At Royal Standard,Croydon,5.56,2020-11-08T10:00:00
J & D Kebab,Croydon,5.54,2020-11-08T15:00:00
Bao Bao @ Boxpark,Croydon,5.52,2020-11-09T12:00:00
Capones Pizza Parlour,South Croydon,5.52,2020-11-08T12:00:00
Ollie’s Kebab Ye / Fish & Chips,South Croydon,5.51,2020-11-08T12:50:00
The Whyteleafe,"Whyteleafe, London",5.51,2020-11-08T11:00:00
Castella Fish Bar,Croydon,5.5,2020-11-08T12:00:00
Chick'N Box,Croydon,5.49,2020-11-08T12:00:00
Taksim Pizza Kebab House,Wallington,5.47,2020-11-08T14:00:00
Donburi & Co Japanese and Korean,Croydon,5.46,2020-11-08T11:00:00
Atesh Express,Croydon,5.46,2020-11-08T13:00:00
Whyteleafe Grill,Warlingham,5.46,2020-11-08T11:00:00
Tashi Sushi - Boxpark,Croydon,5.45,2020-11-08T11:00:00
Tota Cafe,Croydon,5.45,0001-01-01T00:00:00
Hardy's Traditional Fish & Chips,South Croydon,5.44,2020-11-09T13:30:00
Thela - Boxpark,Croydon,5.44,2020-11-08T11:30:00
Dexter Burger,Purley,5.44,2020-11-11T17:00:00
Himalaya,Purley,5.44,2020-11-08T17:00:00
The Gnarbecue @ Boxpark,London,5.44,2020-11-08T12:00:00
K+K Street Food,Croydon,5.41,2020-11-08T11:30:00
Mr Cod Fish And Chips,South Croydon,5.4,2020-11-09T13:00:00
King Kebab,South Croydon,5.39,2020-11-08T16:00:00
Spaghetti Tree,Sutton,5.38,2020-11-09T17:00:00
Empire Kebab House,Croydon,5.37,2020-11-08T12:15:00
Peri Pizza,Croydon,5.35,2020-11-08T14:30:00
Rupali Ruchi,South Croydon,5.35,2020-11-08T17:00:00
CB Sezen Fish Bar,South Croydon,5.35,2020-11-08T12:00:00
Amera Rani,South Croydon,5.34,2020-11-08T17:00:00
Dominics Pizza, Surrey,5.33,2020-11-08T11:30:00
Perfect Kebab (Kenley),Surrey,5.33,2020-11-08T16:45:00
Mazala,Croydon,5.33,2020-11-08T17:15:00
