Name,City,RatingStars,OpeningTime
Viet 2 Go,Croydon,5.32,2020-11-09T12:00:00
The Pizza Kitchen,Croydon,5.3,2020-11-08T12:00:00
Chat House,14-16 Brighton Road Croydon,5.3,2020-11-08T17:00:00
Peri Peri hut,Croydon,5.3,2020-11-09T12:00:00
Best Charcoal Grill,Croydon,5.29,2020-11-08T15:00:00
Burger Fellaz,Wallington,5.29,2020-11-08T15:00:00
Fillings,London,5.29,2020-11-08T12:00:00
Primo Caffe,West Wickham,5.28,2020-11-08T09:00:00
¡COMAMOS!  Tex-Mex,Croydon,5.28,2020-11-09T16:00:00
Fresco,Wallington,5.27,2020-11-08T11:00:00
Rikko,Croydon,5.27,2020-11-08T12:00:00
What The Pitta @ Boxpark Croydon,London,5.26,2020-11-08T12:00:00
Firebellys,Surrey,5.26,2020-11-08T12:00:00
Rajeevs Indian Fine Dining,London,5.25,2020-11-08T17:00:00
New Star,Croydon,5.25,2020-11-08T11:00:00
Chicken Valley,Croydon,5.25,2020-11-08T11:30:00
Bento Gourmet Oriental,Wallington,5.24,2020-11-08T13:00:00
Wei Dao,Croydon,5.24,2020-11-08T12:00:00
Zafran,Croydon,5.22,2020-11-08T13:00:00
Sangri,London,5.22,2020-11-08T17:30:00
Kebab Time,Surrey,5.21,2020-11-08T13:00:00
Ruchi,Surrey,5.2,2020-11-08T17:30:00
Navaratna South Indian Restaurant,Croydon,5.2,2020-11-08T12:00:00
Abshar Persian Cuisine,Croydon,5.2,2020-11-08T12:00:00
Big Mike's Calypso Kitchen - Boxpark,Croydon,5.19,2020-11-08T12:00:00
Ya Hao,London,5.19,2020-11-08T16:30:00
Wallington Village Fish & Chips,Wallington,5.16,2020-11-08T12:00:00
Sanderstead Tandoori,Surrey,5.16,2020-11-08T11:30:00
Havana Gourmet Burger Grill,Croydon,5.15,2020-11-08T16:00:00
Blossom House,Croydon,5.14,2020-11-08T17:30:00
China City,Purley,5.14,2020-11-08T16:30:00
Frydays,Surrey,5.13,2020-11-09T13:30:00
Crust Pizza,London,5.12,2020-11-08T12:00:00
Gurkha Spice,Surrey,5.12,2020-11-08T17:15:00
Newroz Grill,Croydon,5.11,2020-11-08T17:00:00
Tandoori Night,Wallington,5.1,2020-11-08T15:00:00
Pizza 2 Night CR5,Coulsdon,5.1,2020-11-08T11:30:00
Bonanza,Wallington,5.08,2020-11-09T16:00:00
Ayat Kitchen Lounge,Croydon,5.08,2020-11-08T15:00:00
Selsdon Spice,Croydon,5.08,2020-11-08T17:15:00
Taya Sushi,Purley,5.07,2020-11-08T12:00:00
Shirley Bar-B-Q Pit,Croydon,5.07,2020-11-08T16:00:00
Heavenly Cuisine,South Croydon,5.07,2020-11-08T16:30:00
Regina Pizza,Croydon,5.06,2020-11-08T11:20:00
Ginger Spice,London,5.05,2020-11-07T16:30:00
Vujon,Croydon,5.05,2020-11-08T18:00:00
Perfect Kebab,Wallington,5.05,2020-11-08T16:15:00
Pizza 2 Night,Croydon,5.05,2020-11-08T12:00:00
China Red,Croydon,5.05,2020-11-08T17:00:00
King Fish Bar,South Croydon,5.04,2020-11-08T16:00:00
Subway® Purley,Purley,5.04,2020-11-08T09:30:00
Golden Orient Chinese Takeaway,Purley,5.04,2020-11-08T17:00:00
Zeera Spice,Kent,5.03,2020-11-08T11:30:00
Papadom,Croydon,5.03,2020-11-08T16:00:00
Indian Paradise,Croydon,5.02,2020-11-08T14:00:00
Apatura Turkish BBQ,Croydon,5.0,2020-11-08T12:00:00
Coughlans Bakery - Waddon,Wallington,5.0,2020-11-09T08:00:00
Marmaris Grill,Croydon,5.0,2020-11-08T14:00:00
Shirley Best Kebab,Croydon,5.0,2020-11-08T16:00:00
Village Pizza Vegan,Purley,4.99,2020-11-08T11:00:00
Suruchi Indian Takeaway,London,4.99,2020-11-08T17:00:00
Chinese Moon,Purley,4.97,2020-11-08T12:00:00
Charlie's Fried Chicken,Surrey,4.97,2020-11-08T12:00:00
The Lounge,Purley,4.97,2020-11-08T14:00:00
The Oregano,Purley,4.97,2020-11-08T11:00:00
Pepe's Piri Piri - Croydon,Croydon,4.95,2020-11-08T12:00:00
The Coriander,Croydon,4.95,2020-11-08T17:00:00
Wood & Stone,Coulsdon,4.95,2020-11-08T11:00:00
Burger Boy's,Croydon,4.94,2020-11-08T10:25:00
Chickenhut,Croydon,4.93,2020-11-08T11:00:00
Favourite Chicken - Wallington,Wallington,4.93,2020-11-08T11:30:00
Baxfood Caribbean,South Purley,4.91,2020-11-08T14:00:00
Small Dragon,Croydon,4.89,2020-11-08T16:30:00
Texas,London,4.88,2020-11-08T12:00:00
Asif,Surrey,4.88,2020-11-08T16:45:00
Panahar,Surrey,4.87,2020-11-08T17:30:00
Che Restaurant and Lounge,Croydon,4.87,2020-11-08T16:00:00
EZee Pizza,Carshalton,4.86,2020-11-08T12:00:00
Crystal Rocks Cafe,Croydon,4.86,2020-11-08T08:15:00
Polly's Cafe,Purley,4.86,2020-11-08T09:00:00
Curry House Purley,Purley,4.84,2020-11-08T17:00:00
Mei Fo House,Croydon,4.84,2020-11-08T17:30:00
Indian Brasserie,Surrey,4.83,2020-11-08T16:50:00
Greggs - Croydon (High Street),Croydon,4.82,2020-11-08T08:00:00
Planet Pizza CR8,Purley,4.81,2020-11-08T11:00:00
Chennai Dosa,South Croydon,4.81,2020-11-08T12:00:00
Grillo's Peri Peri,Croydon,4.8,2020-11-08T12:00:00
Purley Grill,London,4.79,2020-11-08T13:00:00
Eggfree Cake Box - Croydon,Croydon,4.78,2020-11-08T11:00:00
Dan's Garden,Croydon,4.77,2020-11-08T16:30:00
Indian Haweli Takeaway & Delivery,Surrey,4.76,2020-11-08T17:00:00
Fireaway Designer Pizza - Selsdon,South Croydon,4.76,2020-11-08T11:00:00
Le Bon Cafe,Croydon,4.75,2020-11-09T08:00:00
The Pizza n Grill Spot,Croydon,4.75,2020-11-08T10:25:00
Akash Tandoori Restaurant,Wallington,4.74,2020-11-08T17:30:00
Suburban Grill & Burgers,Coulsdon,4.74,2020-11-08T11:00:00
Spice Village,Croydon,4.74,2020-11-08T10:00:00
Star Chippy,Surrey,4.74,2020-11-08T16:00:00
Taya,Surrey,4.74,2020-11-08T12:00:00
Pizza GoGo Purley,Purley,4.73,2020-11-08T11:00:00
Roosters Piri Piri - Croydon,Croydon,4.71,2020-11-08T12:00:00
Mango Lounge,Wallington,4.7,2020-11-08T17:00:00
South Bridge Charcoal Grill,Croydon,4.7,2020-11-08T12:00:00
Delhi Kitchen,South Croydon,4.68,2020-11-08T17:30:00
Sakura,Carshalton Beeches,4.68,2020-11-08T12:00:00
Rio's Piri Piri - Croydon,Croydon,4.67,2020-11-08T12:00:00
Coughlans Bakery - Croydon High Street,Croydon,4.67,2020-11-09T08:00:00
Spice N Ice,South Croydon,4.67,2020-11-08T12:00:00
Purley Dragon,Purley,4.64,2020-11-08T16:30:00
Hazar Kebab,Surrey,4.62,2020-11-08T11:45:00
The Burger Kitchen,Croydon,4.62,2020-11-08T12:00:00
Chicago Pizza In Town,Croydon,4.62,2020-11-08T11:15:00
Enish Nigerian Restaurant,Croydon,4.61,2020-11-08T12:00:00
Las Fuentes,Purley,4.61,2020-11-08T12:00:00
The Jalalis,South Croydon,4.58,2020-11-08T17:00:00
Morley's® - Brighton Road,South Croydon,4.58,0001-01-01T00:00:00
Tops Pizza - Croydon,Croydon,4.58,2020-11-08T11:00:00
Star Pizza,Purley,4.57,2020-11-08T13:00:00
Pret a Manger - Croydon George Street,Croydon,4.55,2020-11-08T08:00:00
Blue Sea Fish & Chips Bar,Croydon,4.54,2020-11-08T15:00:00
Fridays,Croydon,4.52,2020-11-08T12:00:00
Yummy Yummy Chinese Restaurant,Croydon,4.51,2020-11-08T11:30:00
Koshary Kitchen - Egyptian Food London,London,4.5,2020-11-08T10:00:00
Crown & Pepper Croydon,London,4.5,2020-11-08T12:00:00
Pizza Hot 4 You,Croydon,4.48,2020-11-08T11:10:00
Route 66,Coulsdon,4.48,2020-11-08T12:00:00
Bangkok Inn - Bar & Pan-Asian Restaurant,Croydon,4.48,2020-11-08T12:00:00
Shirley Tandoori,Croydon,4.47,2020-11-08T17:30:00
Nour BBQ Hut,Surrey,4.46,2020-11-08T11:15:00
Koleey,Wallington,4.45,2020-11-08T15:00:00
Anna's Thai Restaurant,Croydon,4.42,2020-11-08T12:00:00
Raj of Purley,Purley,4.4,2020-11-08T17:00:00
Pizza GoGo Croydon,Croydon,4.4,2020-11-08T10:30:00
Little Jamaica UK,Thornton Heath,4.4,2020-11-08T12:00:00
Real Flavour Caribbean Takeaway,Croydon,4.39,2020-11-09T08:00:00
DOSA KADA,Croydon,4.39,2020-11-08T12:00:00
Burger King Croydon - Church Street,London,4.38,2020-11-08T11:00:00
Kenley House,kenley,4.37,2020-11-08T17:15:00
Grillo's Pizza and Grill,Croydon,4.36,2020-11-08T12:00:00
Thai Venue Restaurant,Coulsdon,4.29,2020-11-08T12:00:00
Taco Bell - Croydon,Croydon,4.29,2020-11-08T11:15:00
Wingos Piri Piri,Croydon,4.27,2020-11-08T17:00:00
JerknBitz,Croydon,4.24,2020-11-08T11:15:00
Chicago Kebab & Burgers,South Croydon,4.22,2020-11-08T11:15:00
Zitti,Croydon,4.22,2020-11-08T12:00:00
Pizza Centre,Croydon,4.21,0001-01-01T00:00:00
Roosters Point,Surrey,4.2,2020-11-08T12:30:00
Adeena's Kitchen,Croydon,4.19,2020-11-08T12:00:00
Sam's Chicken - Croydon,Croydon,4.19,2020-11-08T11:00:00
LAS Lounge,London,4.18,2020-11-08T14:15:00
King of Wings @ Boxpark,Croydon,4.15,2020-11-08T12:00:00
Mirch Masala Coulsdon,Croydon,4.14,2020-11-08T12:00:00
Fat Boys Cafe,London,4.1,2020-11-08T08:00:00
Hot Wok,Kenley,4.1,2020-11-08T17:00:00
Taste of Ceylon,Wallington,4.08,2020-11-08T12:30:00
La Pizzeria,Croydon,4.04,2020-11-08T11:00:00
Timber Gardens Restaurant & Bar,Croydon,4.0,2020-11-08T13:45:00
Oatopia @ Boxpark,Croydon,4.0,2020-11-08T08:00:00
Oriental Kitchen,Croydon,3.96,2020-11-08T17:00:00
KFC Purley,London,3.96,2020-11-08T12:00:00
Tinseltown @ Boxpark,Croydon,3.95,2020-11-08T12:00:00
Peri Peri Chicken Bite,Croydon,3.94,2020-11-08T11:15:00
German Doner Kebab - Croydon,Croydon,3.93,2020-11-08T11:00:00
Caribbean Flavourz,Croydon,3.87,2020-11-08T12:00:00
The Dutchie,Croydon,3.83,2020-11-10T17:00:00
Afters - Croydon,Croydon,3.79,2020-11-08T12:15:00
Chicken World Peri Peri,London,3.78,2020-11-07T11:50:00
KFC Croydon Central,Croydon,3.63,2020-11-08T11:00:00
Toby Carvery - South Croydon,London,3.62,2020-11-08T11:30:00
Pizza Hut Restaurants - The Colonnades Purley Way,Croydon,3.61,2020-11-08T12:00:00
KFC - Croydon - Colonnades Leisure Park,Croydon,3.55,2020-11-08T12:00:00
Sweet Dreams,London,3.5,2020-11-08T22:00:00
Zen Kitchen,Croydon,3.5,2020-11-08T12:00:00
Pizza Hut Delivery South Croydon,South Croydon,3.43,2020-11-08T11:00:00
Carshalton Beeches Grill,Carshalton,3.36,2020-11-08T12:00:00
Papa John's - Croydon - Brighton Road,South Croydon,3.06,2020-11-08T11:00:00
Charcoal Grill,Croydon,3.0,2020-11-08T11:00:00
Argentinian Grill,Croydon,3.0,2020-11-08T12:00:00
Turtle Bay - Croydon,Croydon,2.92,2020-11-08T12:00:00
Harry Ramsden - Croydon,Croydon,2.31,2020-11-08T12:00:00
CLUXXX IT - Croydon,Croydon,2.0,2020-11-08T12:00:00
Lunch Box,Croydon,0.0,2020-11-08T08:30:00
Mahala,Croydon,0.0,2020-11-08T12:00:00
Mr Fox,Croydon,0.0,2020-11-08T16:00:00
Tag Elezz,Mitcham,0.0,2020-11-08T13:00:00
Sandwich 4 You-,Croydon,0.0,2020-11-08T08:00:00
Grill House Southend,Croydon,0.0,2020-11-08T11:00:00
Brothers Kebab House,Croydon,0.0,2020-11-08T14:00:00
Juice it,Croydon,0.0,2020-11-09T08:00:00
Kanji,London,0.0,2020-11-08T12:00:00
Vegan Budz Gnarly Breakfasts @ Boxpark,London,0.0,2020-11-08T08:00:00
Buongiorno Cafeteria,Croydon,0.0,2020-11-09T08:00:00
Mekan Restaurant,Surrey,0.0,2020-11-08T12:00:00
Central Cafe Restaurant,Croydon,0.0,2020-11-09T07:00:00
