Name,City,RatingStars,OpeningTime
Spicy Grill~,Manchester,5.63,0001-01-01T00:00:00
Salford Curry King,Salford,5.54,2020-11-08T16:30:00
Indian Ocean,Manchester,5.45,2020-11-08T15:00:00
Bengal Balti,Salford,5.45,2020-11-07T16:00:00
Rahims,Salford,5.42,2020-11-08T17:00:00
Mughali Taste,Manchester,5.41,2020-11-08T12:00:00
Bento King Plus - Hulme,Manchester,5.4,2020-11-08T16:00:00
Raja Cafe,Manchester,5.23,2020-11-08T10:30:00
Saarah Restaurant Takeaway,Sale,5.23,2020-11-08T16:45:00
Kebabish Grill & Steakhouse Restaurants,Manchester,5.19,2020-11-08T16:00:00
Love Balti,Salford,5.14,2020-11-08T16:00:00
Urban Spice,Manchester,5.14,2020-11-08T12:00:00
Spicy Mango,Manchester,5.05,2020-11-08T17:00:00
Cha Cha's,Manchester,4.86,2020-11-08T14:00:00
Zouk Tea Bar,Manchester,4.75,2020-11-08T12:00:00
Eat n Grill,Salford,4.69,2020-11-08T18:00:00
Spice Lounge,Manchester,4.56,2020-11-08T16:50:00
Buddha Express Manchester,Manchester,4.43,2020-11-08T16:00:00
Tipu Sultan (Manchester),Manchester,4.37,2020-11-08T14:00:00
Arnero restaurant,Manchester,4.04,2020-11-08T15:00:00
eastZeast - Manchester,Salford,3.37,2020-11-08T17:15:00
Spicy Grill,Manchester,0.0,2020-11-08T16:30:00
