Name,City,RatingStars,OpeningTime
BrewDog Pizza - Sheffield,Sheffield,6.0,2020-11-08T12:00:00
Philpotts Sheffield,Sheffield,6.0,0001-01-01T00:00:00
Food Fusion,Sheffield,6.0,2020-11-09T12:00:00
Made By Jonty's,Sheffield,6.0,2020-11-08T12:00:00
DaShu Bakery & Cafe,Sheffield,6.0,2020-11-08T11:30:00
Urban-ita,Sheffield,5.93,0001-01-01T00:00:00
Na Pedra,Sheffield,5.81,2020-11-10T17:00:00
La Vaca,Sheffield,5.8,2020-11-09T17:00:00
Mediterranean Takeaway,Crookes,5.78,2020-11-08T16:00:00
La Vlad,Sheffield,5.75,2020-11-08T14:00:00
Marmaris Turkish Restaurant,Sheffield,5.75,2020-11-08T12:00:00
Blast Shop,Sheffield,5.74,2020-11-08T12:00:00
Bagel Shack,Sheffield,5.72,2020-11-08T12:00:00
Nether Edge Pizza,Sheffield,5.71,2020-11-13T16:30:00
Pasam Kebab,Sheffield,5.69,2020-11-08T17:00:00
Vujon Spice,Sheffield,5.69,2020-11-08T16:45:00
Krispy Kreme - Sheffield Moor,Sheffield,5.67,2020-11-08T10:00:00
Humpit - The Hummus & Pita Bar,Sheffield,5.67,2020-11-09T11:30:00
Kebabish Original Sheffield,Sheffield,5.67,2020-11-08T16:45:00
Nings,Sheffield,5.67,2020-11-08T12:00:00
Wildwood Artisan Coffee Shop,Sheffield,5.66,2020-11-08T10:00:00
Charleys Kebabs & Grill,Sheffield,5.65,2020-11-08T16:00:00
Zeugma,Sheffield,5.63,2020-11-08T12:30:00
Fanoush Falafel Bar,Sheffield,5.6,2020-11-09T10:30:00
Edo Sushi,Sheffield,5.58,2020-11-09T16:30:00
Aslan's Kebab,Sheffield,5.58,2020-11-08T16:00:00
Puck-a-food,Sheffield,5.58,2020-11-08T10:00:00
Colombo By Ayubowan - Sheffield,Sheffield,5.56,2020-11-08T10:15:00
Middle Eastern Shawarma,Sheffield,5.53,2020-11-08T11:00:00
Southern Fried Chicken,Sheffield,5.52,2020-11-08T17:00:00
Saucy,Sheffield,5.52,2020-11-08T17:00:00
Shapla,Sheffield,5.52,2020-11-08T16:00:00
Ottos Restaurant,Sheffield,5.5,2020-11-10T14:00:00
La Baracca,Sheffield,5.5,2020-11-10T16:00:00
The Cabin Pancake & Waffle House,Sheffield,5.5,2020-11-08T09:30:00
Kosta's Greek Deli,Sheffield,5.49,2020-11-08T17:00:00
Amici & Bici,Sheffield,5.48,2020-11-08T09:00:00
Deli West,Sheffield,5.48,2020-11-09T08:30:00
Bon Appetit,Sheffield,5.47,2020-11-08T16:30:00
Meet Sushi,Sheffield,5.47,2020-11-08T16:00:00
Viraaj,Sheffield,5.47,2020-11-08T17:15:00
Tony's Kitchen,Sheffield,5.47,2020-11-09T07:30:00
hang,Sheffield,5.46,2020-11-08T12:00:00
Caffe Piazza,Sheffield,5.45,2020-11-09T12:00:00
Deli Express,Sheffield,5.44,2020-11-09T11:00:00
Saigon 68,Sheffield,5.44,2020-11-08T16:45:00
Bambukat,Sheffield,5.44,2020-11-08T17:00:00
The Greek Village,Sheffield,5.44,2020-11-08T13:00:00
New Cod On The Block,Sheffield,5.44,2020-11-09T16:30:00
Yama Sushi,Sheffield,5.43,2020-11-08T16:30:00
Chach Spark,Sheffield,5.43,2020-11-08T17:00:00
Brunch & Lunch,Sheffield,5.43,2020-11-08T09:30:00
Patrons,Sheffield,5.43,2020-11-08T16:00:00
The Greedy Greek Deli,Sheffield,5.42,2020-11-08T11:00:00
China Town,Sheffield,5.42,2020-11-08T16:30:00
Burgerland,Sheffield,5.41,2020-11-08T17:00:00
New Jumbo Hot Food,Sheffield,5.41,2020-11-08T16:50:00
Cafe Indus - Highfield,Sheffield,5.4,2020-11-08T17:30:00
The Mogul Room,Sheffield,5.4,2020-11-08T17:00:00
Maranto's,Sheffield,5.39,2020-11-08T16:00:00
A Salt N Battered,Sheffield,5.39,2020-11-10T12:00:00
Village Balti House,Sheffield,5.39,2020-11-08T17:00:00
Symposium,Sheffield,5.39,2020-11-08T12:00:00
Efes Restaurant,Sheffield,5.39,2020-11-08T16:00:00
Pizza Place,Sheffield,5.39,2020-11-08T16:00:00
Stew & Oyster,Sheffield,5.38,2020-11-08T12:00:00
DeNiro's,Sheffield,5.38,2020-11-08T17:00:00
Pizza Bar,Sheffield,5.38,2020-11-08T17:00:00
Spital Chippy,Sheffield,5.37,2020-11-08T12:00:00
Frièsday Belgian Fries,Sheffield,5.37,2020-11-08T12:30:00
Galaxy Pizza & Star Grill,Sheffield,5.37,2020-11-08T16:30:00
Curry Master,Sheffield,5.36,2020-11-08T17:00:00
Hudson's Kitchen,Sheffield,5.36,2020-11-11T08:30:00
Sophie’s Cakes and Shakes,Rotherham,5.36,2020-11-08T17:00:00
Oasis,Sheffield,5.35,2020-11-08T17:00:00
El Paso,Sheffield,5.35,2020-11-08T15:00:00
Arabian Kitchen,Sheffield,5.35,2020-11-08T12:00:00
Bunnys Bakery,Rotherham,5.34,2020-11-08T17:30:00
Street Art Sushi,Sheffield,5.33,2020-11-08T16:00:00
Shawerma Grill,Sheffield,5.33,2020-11-08T15:00:00
Pronto Caldo,Sheffield,5.33,2020-11-08T16:00:00
All Siam Thai Restaurant,Sheffield,5.33,0001-01-01T00:00:00
Pizza Paradise,Sheffield,5.32,2020-11-08T16:30:00
Mr. Pizza,Sheffield,5.32,2020-11-08T16:00:00
Lemongrass Thai Street Food,Sheffield,5.31,2020-11-09T08:00:00
Al Madina,Sheffield,5.3,2020-11-08T13:00:00
Sakushi Japanese,Sheffield,5.3,2020-11-08T16:00:00
Upperthorpe Fish Bar,Sheffield,5.29,2020-11-09T11:00:00
Indus,Sheffield,5.29,2020-11-08T17:10:00
The Curry Pot,Sheffield,5.29,2020-11-08T16:30:00
Aroma,Sheffield,5.29,2020-11-08T17:00:00
Pizzeria Italia,Sheffield,5.28,2020-11-08T16:30:00
Abbeydal Star Pizza,Sheffield,5.28,2020-11-08T16:30:00
Istanbul Restaurant,Sheffield,5.27,2020-11-08T12:00:00
Maveli Restaurant,Sheffield,5.27,2020-11-08T17:00:00
Royal Pizza,Sheffield,5.27,2020-11-08T17:00:00
Baan Thai,Sheffield,5.26,2020-11-08T12:15:00
Padrino's,Sheffield,5.26,2020-11-08T17:30:00
Red Lion,Sheffield,5.25,2020-11-08T17:00:00
Unit Sheffield,Sheffield,5.25,2020-11-08T15:30:00
