Name,City,RatingStars,OpeningTime
Vujon Spice,Sheffield,5.69,2020-11-08T16:45:00
Shapla,Sheffield,5.52,2020-11-08T16:00:00
Viraaj,Sheffield,5.47,2020-11-08T17:15:00
Bambukat,Sheffield,5.44,2020-11-08T17:00:00
The Mogul Room,Sheffield,5.4,2020-11-08T17:00:00
Cafe Indus - Highfield,Sheffield,5.4,2020-11-08T17:30:00
Village Balti House,Sheffield,5.39,2020-11-08T17:00:00
Curry Master,Sheffield,5.36,2020-11-08T17:00:00
Aroma,Sheffield,5.29,2020-11-08T17:00:00
Indus,Sheffield,5.29,2020-11-08T17:10:00
The Curry Pot,Sheffield,5.29,2020-11-08T16:30:00
Maveli Restaurant,Sheffield,5.27,2020-11-08T17:00:00
Kolkata Indian & Bangladeshi Takeaway,Sheffield,5.21,2020-11-08T17:15:00
7 Spices,Sheffield,5.2,2020-11-08T17:00:00
Gulistan Takeaway,Sheffield,5.14,2020-11-08T17:30:00
Butlers Balti House,Sheffield,5.1,2020-11-08T16:00:00
Mehr's Massala,Sheffield,5.09,2020-11-08T16:15:00
Everest Restaurant 1978,Sheffield,5.09,2020-11-08T17:00:00
Indian Chef,Sheffield,5.08,2020-11-08T17:30:00
Pizza City & Indian Cuisine,Sheffield,5.04,2020-11-08T17:00:00
Cafe Masala Walkley,Sheffield,5.03,2020-11-08T17:00:00
"Kamz ""n"" Sams",Sheffield,5.02,2020-11-08T16:30:00
Zara's,Sheffield,5.02,2020-11-08T17:30:00
Spice Hut,Sheffield,5.0,2020-11-08T17:30:00
Mirpuri Tawa,Sheffield,4.95,2020-11-08T17:00:00
Ranmoor Tandoori,Sheffield,4.93,2020-11-08T17:00:00
Spicy Bites,Sheffield,4.91,2020-11-08T17:30:00
The Original India Garden,South Yorkshire,4.89,2020-11-08T17:00:00
Gourmet Curry House,Sheffield,4.87,0001-01-01T00:00:00
Koh-I-Noor Curries,Sheffield,4.86,2020-11-08T17:00:00
Wicker Kebabish,Sheffield,4.74,2020-11-08T16:30:00
Mangla Takeaway,Sheffield,4.32,2020-11-08T17:30:00
Balti King,Sheffield,4.27,2020-11-08T12:00:00
Zeenat Indian Cuisine,Sheffield,4.1,2020-11-08T15:45:00
Aagrah - Leopold Square,Sheffield,0.0,0001-01-01T00:00:00
